S.No.,Name,Phone,Email,Birthday,Occupation,Address,Call Status,Added to Campaign Date,Company,City,Website,Person Record ID,Company Record ID,Description,LinkedIn,Labels,Past notes
1,ffa07769-6dd8-490f-9495-2443a601a5fe,+61740536035,info@complysmsf.com.au,,Office Contact,,-,2026-02-18 12:38:09,Shephard And Mccarthy Chartered Accountants,,shephardmccarthy.com.au,0776968490949524436015,82173404350960738820716,,,,
2,ff4b2de3-ce1b-4b95-8860-61018d5a6166,+61295802522,office@mongerbaker.com,,Office Contact,,-,2026-02-18 12:38:09,Monger Baker Chartered Accountant,,mongerbaker.com,423149588606101856166,46246895150349621,,,,
3,fdfaf4cb-c254-4791-9590-c06d507cdfaa,+61290378295,info@azzcan.com.au,,Office Contact,,-,2026-02-18 12:38:09,Azzcan Financial,,azzcan.com.au,42544791959006507,3182585158860672043605,,,,
4,fdc978da-64e7-4296-b5f5-0aded9adbfe7,+61299691044,,,Office Contact,,-,2026-02-18 12:38:09,Carollo And,,carollo.com.au,978647429655097,566955939940953644,,,,
5,fdc0df13-921a-4ba6-b513-e5712233cd73,+61266842502,nicholls@wdnicholls.com.au,,Office Contact,,-,2026-02-18 12:38:09,Wd Nicholls Chartered Accountants,,wdnicholls.com.au,01392146513571223373,89504902575822804665,,,,
6,fd3aa39d-327e-40be-97b5-63b247e033c2,+61280047571,info@jmcaccountinggroup.com.au,,"Principal – CA, FTI, MProfAcc, BA (AppComm)",,-,2026-02-18 12:38:09,Jmc Accounting Group,,jmcaccountinggroup.com.au,33932740975632470332,2321956184444683,,,,
7,fce6fb63-e4d9-4f9c-8720-3a1b447575e2,+61263616364,2800admin@mybusinesskeeper.com.au,,,,-,2026-02-18 12:38:09,My Business Keeper,,mybusinesskeeper.com.au,66349498720314475752,64636951799323983990,,,,
8,fca9bd39-0c8a-479d-99d2-8a6415191169,+61268824880,angela@accounting4lifedubbo.com.au,,Office Contact,,-,2026-02-18 12:38:09,Accounting 4 Life,,accounting4lifedubbo.com.au,9390847999286415191169,466811785553821684582,,,,
9,fc7e4d15-7062-4178-82f0-a27bebc23197,+61397206666,raelene@jlcollyerpartners.com.au,,,,-,2026-02-18 12:38:09,J L Collyer And Partners,,jlcollyerpartners.com.au,7415706241788202723197,3734087558240407091875,,,,
10,fc3e583d-57d4-4174-bc8e-d8a10243b802,+61286071656,info@cnstax.com.au,,Chief Executive,,-,2026-02-18 12:38:09,Cns Accountants,,cnstax.com.au,358357441748810243802,8399476553785774551,,,,
11,fc2f56ac-b0ab-4f22-a499-8b3aeb2477ab,+61290047011,,,Office Contact,,-,2026-02-18 12:38:08,Gti Accountants And Business Advisory,,gticonsulting.com.au,2560422499832477,132583356402621505320,,,,
12,fc289eec-2240-40ed-9f30-e8f32ab8a5d7,+61297585000,webmaster@elitetax.com.au,,Office Contact,,-,2026-02-18 12:38:08,Ets,,elitetax.com.au,289224040930832857,16390555593992089,,,,
